player_id,player_name,team_context,team,season,source_bucket,competition_name,competition_family,seniority,appearances,goals,appearances_source_text,goals_source_text,source_id,source_url,source_granularity
pele,Pelé,club,Santos,1966,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,5,2,5*,2*,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1967,Campeonato Paulista,Campeonato Paulista,regional_league,senior,18,17,18,17,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1967,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,14,9,14*,9*,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1968,Campeonato Paulista,Campeonato Paulista,regional_league,senior,21,17,21,17,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1968,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,17,12,17*,12*,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1968,Intercontinental Cup,Intercontinental Cup,intercontinental_federation_cup,senior,5,1,5.0,1,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1969,Campeonato Paulista,Campeonato Paulista,regional_league,senior,25,26,25,26,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1969,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,12,12,12*,12*,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1970,Campeonato Paulista,Campeonato Paulista,regional_league,senior,15,7,15,7,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1970,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,13,4,13*,4*,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1971,Campeonato Paulista,Campeonato Paulista,regional_league,senior,19,6,19,6,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1971,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,21,1,21,1,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1972,Campeonato Paulista,Campeonato Paulista,regional_league,senior,20,9,20,9,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1972,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,national_league,senior,16,5,16,5,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
pele,Pelé,club,Santos,1973,Campeonato Paulista,Campeonato Paulista,regional_league,senior,19,11,19,11,wikipedia_pele_career_stats,https://en.wikipedia.org/wiki/Pel%C3%A9,season_bucket
