player_id,player_name,cap,date,date_iso,venue,opponent,result,competition_name,competition_family,source_id,source_url,goals,cumulative_goals,source_granularity
maradona,Diego Maradona,35,9-5-85,1985-05-09,Buenos Aires,Paraguay,1-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,14,appearance
maradona,Diego Maradona,36,14-5-85,1985-05-14,Buenos Aires,Chile,2-0,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,15,appearance
maradona,Diego Maradona,37,26-5-85,1985-05-26,San Cristóbal,Venezuela,3-2,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,2,17,appearance
maradona,Diego Maradona,38,2-6-85,1985-06-02,Bogotá,Colombia,3-1,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,17,appearance
maradona,Diego Maradona,39,9-6-85,1985-06-09,Buenos Aires,Venezuela,3-0,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,18,appearance
maradona,Diego Maradona,40,16-6-85,1985-06-16,Buenos Aires,Colombia,1-0,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,18,appearance
maradona,Diego Maradona,41,23-6-85,1985-06-23,Lima,Peru,0-1,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,18,appearance
maradona,Diego Maradona,42,30-6-85,1985-06-30,Buenos Aires,Peru,2-2,World Cup Qualifier,national_team_world_cup_qualification,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,18,appearance
maradona,Diego Maradona,43,14-11-85,1985-11-14,Los Angeles,Mexico,1-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,1,19,appearance
maradona,Diego Maradona,44,17-11-85,1985-11-17,Puebla,Mexico,1-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,19,appearance
maradona,Diego Maradona,45,26-3-86,1986-03-26,Paris,France,0-2,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,19,appearance
maradona,Diego Maradona,46,30-4-86,1986-04-30,Oslo,Norway,0-1,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,0,19,appearance
maradona,Diego Maradona,47,4-5-86,1986-05-04,Tel-Aviv,Israel,7-2,Friendly,national_team_friendlies,rsssf_maradona_international_appearances,https://www.rsssf.org/miscellaneous/maradona-intl.html,2,21,appearance
